reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_id
c1bfddf5-eecd-49e1-8aca-c15825ca212f,Ume Habiba,https://play-lh.googleusercontent.com/a-/ALV-UjUxKm3QCYfTLGQKW5Rvjb1OeMMgqZP_Kbmr5_sPmO34jP9ZaHwO,too much slow processing of app,2,0,1.3.4,2026-05-18 15:37:18,,,1.3.4,com.blink.crumblecookies
7cabf2dc-13f2-4189-adba-333e530ae615,qais,https://play-lh.googleusercontent.com/a/ACg8ocI_P_6ZHxK_kV5xmXOf2vQDjE23mimthf3pEywFyLIlzJ8Mdg=mo,very testy,5,0,1.3.4,2026-05-18 11:35:42,,,1.3.4,com.blink.crumblecookies
a1c18b8e-e9ff-4dce-988a-ad8735660bb8,Muhammad Bilal,https://play-lh.googleusercontent.com/a/ACg8ocL0ochDiwv1dcQoPQmLSxrSwsV3mPDts3GPBkhlTivs9gm_Sg=mo,too difficult to order,2,0,1.3.4,2026-05-11 17:57:13,,,1.3.4,com.blink.crumblecookies
31cc4242-a4a6-4496-aa98-5b5e203786f0,Hiba Rehman,https://play-lh.googleusercontent.com/a/ACg8ocJlVvob0P_2CfqsEZ_9G0ctPWcmTbe6UOWMmHxq3BdMNrkmpxU=mo,"I am unable to place an order because I am facing an issue in your app. The location DHA 1 Sector B is not showing, while other sectors in DHA are available. Please fix this issue as soon as possible because I am unable to order.",3,0,1.3.4,2026-05-11 12:45:27,,,1.3.4,com.blink.crumblecookies
e71169e8-0b6e-497e-8db6-0b226f8f36d8,Syed Muhammad Hassan Maqsood,https://play-lh.googleusercontent.com/a/ACg8ocLNQkAx5BSVuJfzSPpuLIvyoIKaiLw2S3QNI5_zD44W2SG64Q=mo,Shop Ke Bahir Wait Krwa Ke Kehte Hain App Se Order Karain.,1,0,1.3.4,2026-05-09 18:23:05,,,1.3.4,com.blink.crumblecookies
5e69265f-59d4-4e23-8ee9-dac9951321c1,Awais Yousaf,https://play-lh.googleusercontent.com/a-/ALV-UjUImp7rf2iLMbG1sU2gT6DmlFO_LsY9QPMezteaPoD9zyTboxjj,1 Star till you don't add Gujranwala to the delivery location. 🙂,1,0,,2026-05-08 23:54:37,,,,com.blink.crumblecookies
c9ca561a-2145-418d-b49b-9a87579f00b6,Zarish Attique,https://play-lh.googleusercontent.com/a/ACg8ocKeW8D6tWjEv4i23dO45P6QONDSiEap3v4HBQezbtfZVhk2e9c=mo,good👍,5,0,1.3.2,2026-05-07 15:54:25,,,1.3.2,com.blink.crumblecookies
1f663128-4b7c-4c1c-8590-57351b53a48d,ali raza,https://play-lh.googleusercontent.com/a-/ALV-UjV7VQ8XTs-PC-ja0lK12WjTEnYETl9tXk39rZBaEWX4cVg7FspM,worst app ever. didn't open once,1,0,,2026-05-05 14:45:13,,,,com.blink.crumblecookies
8048f3d4-a940-426e-85d3-5a713697c1dd,Fried Skull,https://play-lh.googleusercontent.com/a/ACg8ocLJaRRIQl1nqAEPkvCxuu4bKSnrEczBqDpdz185m7z1MchhDw=mo,extremely sweet. horrendous taste. I literally feel the sweetness in my ears like ewww🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,2,1,,2026-04-29 07:27:10,,,,com.blink.crumblecookies
76cc7ffb-543a-4da6-a4bb-3a45319304e0,Haroon Khan,https://play-lh.googleusercontent.com/a/ACg8ocJTSc0OT-uM7yd9B30fe6bW81sH5CbsabrJtM7lAibR4W4rRA=mo,good and excellent,5,0,1.3.2,2026-04-26 16:25:38,,,1.3.2,com.blink.crumblecookies
3ea2187f-0eb9-43f0-b199-edf8e8c08877,Imran Nabi,https://play-lh.googleusercontent.com/a-/ALV-UjW5kgoFhJ899M9MDbzKgthAx0GlWfhNxnCWrxfUxS-AH8QRFDVJ,ok,5,0,1.3.2,2026-04-19 16:46:30,,,1.3.2,com.blink.crumblecookies
